id	filename	md5	size	state
6afb15ba-92a3-4dc0-a091-dba5758362cb	5535ecc3-d385-4c20-b4f5-f71c5782ec60.rna_seq.augmented_star_gene_counts.tsv	c03619ed8ad85a9158c0413f2b5f89ff	4244936	released
baf3ce56-0aa2-4e8e-8fa0-fe88e2c0e75d	3dc0f5ff-07aa-4e17-90f5-7434472f0cc4.rna_seq.augmented_star_gene_counts.tsv	728d9e3d36531cdd438b22a105dd6979	4219853	released
9754a8ce-6f71-477f-abd8-4b4c33e5d1dc	ddb3d84c-9e68-40d2-bef8-22bcf0fd201c.rna_seq.augmented_star_gene_counts.tsv	9e570e460a9ce0a47c3b90b53142ab2f	4255058	released
ab780309-bf71-433c-a9e5-d8823aadf3be	f1270243-3813-4e20-a0a8-d5ca020ae5d0.rna_seq.augmented_star_gene_counts.tsv	b22f8304ca568435e4d0cb06a0c5a9f7	4206970	released
2a0b9c8d-af2f-452a-9d08-3863ce528bf9	63d57102-26d4-48b7-9fd3-bb842f5e5328.rna_seq.augmented_star_gene_counts.tsv	95d3bca174c8dd03bd5af7fa1688b7df	4227052	released
68b2e11e-37c9-4e2b-a532-fa8f91424694	e045554d-52a6-4e83-8ca1-0cbb75a2a68b.rna_seq.augmented_star_gene_counts.tsv	7e0617ae0ade991b1500a993c6bdeffe	4243875	released
c43bacec-dabb-4478-9303-57dcee5e38fa	7b54d220-229c-421f-8d6d-891a27354951.rna_seq.augmented_star_gene_counts.tsv	d57c4f190955abb2b4eb4d021b065b41	4222247	released
bdacbe0a-1ba6-4db5-9dc6-912613da12da	1e899b2d-aaca-4c8d-afbd-14b453af8197.rna_seq.augmented_star_gene_counts.tsv	2e8d434bb58a838dbaefed40f8cc0fd9	4238135	released
9c1bb02c-d426-4f22-bb6a-135d338d3f6d	9007bcff-ae42-4df1-ae6c-3f78085cd7f1.rna_seq.augmented_star_gene_counts.tsv	38b0f31da45ce4a0ef684de5a5622636	4223175	released
ded08db2-5868-4423-bf7f-2a988fc7a474	5772ed26-e300-459b-96ee-fd4aaf9dc7f1.rna_seq.augmented_star_gene_counts.tsv	e89cb3e48c130ce9f95e6f096570796e	4242849	released
e0c1cdbb-08ef-449a-8d50-22ab8ca51cb9	b3728f8d-45b0-4fe5-b165-1ec1ec75bde4.rna_seq.augmented_star_gene_counts.tsv	b7da6088bcd3d92c985498d5b59bc7ef	4227998	released
fc25fc3c-8ede-4135-9baa-5fd41a825396	e10d1489-b3e7-4aca-af63-fe15a285f9ee.rna_seq.augmented_star_gene_counts.tsv	1839ab713193bcacacc2198c90587790	4220271	released
8d6af558-14e7-4988-bd42-d73dc857fdd5	7b8f80f0-fd85-41f5-b705-973bf60c5c24.rna_seq.augmented_star_gene_counts.tsv	666f3a3d0cc0d23522212254084b5313	4233395	released
c6316932-6aa4-42a9-8e17-1be5449f68b7	176e2fa9-8ec3-45a7-bfc9-778f5c9cbc55.rna_seq.augmented_star_gene_counts.tsv	d8afdab7aab04e4f068675d708d9b312	4228215	released
4f2e18b6-128d-4270-aee8-4e675a41cd72	5d99eb47-9acf-4d75-a730-2f7c6c1368c9.rna_seq.augmented_star_gene_counts.tsv	0314bd396c7792dc4c5acc72a26f2571	4253561	released
8f48636e-ed47-48b0-bf55-3d4b6c1ae917	9270df3e-1219-4a78-ba6e-a12406201682.rna_seq.augmented_star_gene_counts.tsv	2a17b01b412087d2cc41710d91e22ba5	4223821	released
18f5eb72-cf61-4dea-9801-a89addf8f180	4d25163f-c740-4804-8fbb-182fb43ca8d4.rna_seq.augmented_star_gene_counts.tsv	e49fd1e23e337e4d3baa473d17b9c302	4236032	released
dd9689d8-2668-4c4d-962b-34ccad3c0d8e	27ad1d7f-df4f-4b47-b8f8-ddf10d44076a.rna_seq.augmented_star_gene_counts.tsv	ba8f53cb7b698a51f0f3b9ec2ad927c6	4247231	released
508bc893-2adb-471e-8dea-a71ab8af3290	4bba5ba8-e210-4ef3-9377-c692f9484df8.rna_seq.augmented_star_gene_counts.tsv	71ae5c01a612bca9ba86f46d63695d78	4247880	released
d59e657f-6780-4e40-9390-4445f02a2f23	8cd48709-0a65-4737-b859-b2367336249b.rna_seq.augmented_star_gene_counts.tsv	b03f42d4036fe4e16d07c07b52a94120	4235761	released
